datetime,Consumption (kWh),temp,feelslike,dew,humidity,precip,windspeed,sealevelpressure,cloudcover,sensor_temp,hour,day_of_week,is_weekend,midnight_flag,part_of_day
2023-11-02 19:00:00,0.92,8.5,5.3,8.1,97.65,1.288,21.5,970.2,100.0,20.91329479768786,19,3,0,False,evening
2023-11-02 19:30:00,3.14,8.45,5.1,7.9,96.495,0.8695,22.9,970.6500000000001,100.0,20.971098265895957,19,3,0,False,evening
2023-11-02 20:00:00,0.96,8.4,4.9,7.7,95.34,0.451,24.3,971.1,100.0,21.028901734104046,20,3,0,False,evening
2023-11-02 20:30:00,0.92,8.350000000000001,4.85,7.550000000000001,94.745,0.3125,24.85,971.5,100.0,21.052023121387283,20,3,0,False,evening
2023-11-02 21:00:00,0.88,8.3,4.8,7.4,94.15,0.174,25.4,971.9,100.0,21.07514450867052,21,3,0,False,night
2023-11-02 21:30:00,0.84,8.25,4.75,7.4,94.25,0.13949999999999999,25.15,972.15,100.0,21.09826589595376,21,3,0,False,night
2023-11-02 22:00:00,0.05,8.2,4.7,7.4,94.35,0.105,24.9,972.4,100.0,21.121387283236995,22,3,0,False,night
2023-11-02 22:30:00,0.18,8.2,4.7,7.300000000000001,94.02,0.22699999999999998,24.25,972.65,100.0,21.121387283236995,22,3,0,False,night
2023-11-02 23:00:00,0.3,8.2,4.7,7.2,93.69,0.349,23.6,972.9,100.0,21.121387283236995,23,3,0,False,night
2023-11-02 23:30:00,0.24,8.05,4.5,7.15,94.1,0.236,24.5,973.3499999999999,100.0,21.202312138728324,23,3,0,False,night
2023-11-03 00:00:00,0.01,7.9,4.3,7.1,94.51,0.123,25.4,973.8,100.0,21.283236994219653,0,4,1,True,early_morning
2023-11-03 00:30:00,0.15,7.800000000000001,4.15,6.949999999999999,94.235,0.079,25.35,974.05,100.0,21.341040462427745,0,4,1,True,early_morning
2023-11-03 01:00:00,0.03,7.7,4.0,6.8,93.96,0.035,25.3,974.3,100.0,21.39884393063584,1,4,1,True,early_morning
2023-11-03 01:30:00,0.03,7.7,3.9,6.699999999999999,93.345,0.0625,26.700000000000003,974.5999999999999,100.0,21.421965317919074,1,4,1,True,early_morning
